NAME,PROTISTS,PROKARYOTES,INVERTEBRATES,VERTEBRATES,PLANTS,FUNGI,VIROPHAGE
Hepadnaviridae,0,0,0,1,0,0,0
Hepeviridae,0,0,0,1,0,0,0
Herelleviridae,0,1,0,0,0,0,0
Herpesviridae,0,0,0,1,0,0,0
Hypoviridae,0,0,0,0,0,1,0
Hytrosaviridae,0,0,1,0,0,0,0
Iflaviridae,0,0,1,0,0,0,0
Inoviridae,0,1,0,0,0,0,0
Intestiviridae,0,1,0,0,0,0,0
Iridoviridae,0,0,1,1,0,0,0
Kitaviridae,0,0,0,0,1,0,0
Kolmioviridae,0,0,1,1,0,0,0
Kyanoviridae,0,1,0,0,0,0,0
Lavidaviridae,0,0,0,0,0,0,1
Leisingerviridae,0,1,0,0,0,0,0
Leviviridae,0,1,0,0,0,0,0
Lipothrixviridae,0,1,0,0,0,0,0
Lispiviridae,0,0,1,0,0,0,0
Luteoviridae,0,0,0,0,1,0,0
Malacoherpesviridae,0,0,1,0,0,0,0
Marnaviridae,1,0,0,0,0,0,0
Marseilleviridae,1,0,0,0,0,0,0
Matonaviridae,0,0,0,1,0,0,0
Matshushitaviridae,0,1,0,0,0,0,0
Mayoviridae,0,0,0,0,1,0,0
Megabirnaviridae,0,0,0,0,0,1,0
Mesoniviridae,0,0,1,0,0,0,0
Mesyanzhinovviridae,0,1,0,0,0,0,0
Metaviridae,1,0,1,1,1,1,0
Microviridae,0,1,0,0,0,0,0
Mimiviridae,1,0,0,0,0,0,0
Mitoviridae,1,0,1,1,1,1,0
Molycolviridae,0,1,0,0,0,0,0
Mononiviridae,0,0,1,0,0,0,0
Mymonaviridae,0,0,0,0,0,1,0
Myoviridae,0,1,0,0,0,0,0
Mypoviridae,0,0,1,0,0,0,0
Myriaviridae,0,0,1,0,0,0,0
Nairoviridae,0,0,1,1,0,0,0
Nanoviridae,0,0,0,0,1,0,0
Naomviridae,0,1,0,0,0,0,0
Narnaviridae,1,0,0,0,0,1,0
Nimaviridae,0,0,1,0,0,0,0
Nodaviridae,0,0,1,1,0,0,0
Nudiviridae,0,0,1,0,0,0,0
Nyamiviridae,0,0,1,1,0,0,0
Orlajensenviridae,0,1,0,0,0,0,0
Orthomyxoviridae,0,0,0,1,0,0,0
Ovaliviridae,0,1,0,0,0,0,0
Pachyviridae,0,1,0,0,0,0,0
Papillomaviridae,0,0,0,1,0,0,0
Paramyxoviridae,0,0,0,1,0,0,0
Partitiviridae,1,0,0,0,1,1,0
Parvoviridae,0,0,1,1,0,0,0
Peduoviridae,0,1,0,0,0,0,0
Peribunyaviridae,0,0,1,1,0,0,0
Permutotetraviridae,0,0,1,0,0,0,0
Pervagoviridae,0,1,0,0,0,0,0
Phasmaviridae,0,0,1,0,0,0,0
Phenuiviridae,0,0,1,1,0,0,0
Phycodnaviridae,1,0,0,0,0,0,0
Picobirnaviridae,0,1,0,0,0,0,0
Picornaviridae,0,0,1,1,0,0,0
Pithoviridae,1,0,0,0,0,0,0
Pleolipoviridae,0,1,0,0,0,0,0
Pneumoviridae,0,0,0,1,0,0,0
Podoviridae,0,1,0,0,0,0,0
Polycipiviridae,0,0,1,0,0,0,0
Polydnaviridae,0,0,1,0,0,0,0
Polydnaviriformidae,0,0,1,0,0,0,0
Polyomaviridae,0,0,1,1,0,0,0
Potyviridae,0,0,0,0,1,0,0
Poxviridae,0,0,1,1,0,0,0
Pseudoviridae,0,0,1,0,1,1,0
Qinviridae,0,0,1,0,0,0,0
Reoviridae,1,0,1,1,1,1,0
Retroviridae,0,0,0,1,0,0,0
Rhabdoviridae,0,0,1,1,1,0,0
Rountreeviridae,0,1,0,0,0,0,0
Rudiviridae,0,1,0,0,0,0,0
Salasmaviridae,0,1,0,0,0,0,0
Schitoviridae,0,1,0,0,0,0,0
Secoviridae,0,0,0,0,1,0,0
Sedoreoviridae,0,0,1,1,1,0,0
Siphoviridae,0,1,0,0,0,0,0
Smacoviridae,0,1,0,0,0,0,0
Solemoviridae,0,0,0,0,1,0,0
Solinviviridae,0,0,1,0,0,0,0
Solspiviridae,0,1,0,0,0,0,0
Sphaerolipoviridae,0,1,0,0,0,0,0
Spinareoviridae,0,0,1,1,1,1,0
Spiraviridae,0,1,0,0,0,0,0
Steigviridae,0,1,0,0,0,0,0
Steitzviridae,0,1,0,0,0,0,0
Straboviridae,0,1,0,0,0,0,0
Suoliviridae,0,1,0,0,0,0,0
Tectiviridae,0,1,0,0,0,0,0
Tobaniviridae,0,0,0,1,0,0,0
Togaviridae,0,0,1,1,0,0,0
Tolecusatellitidae,0,0,0,0,0,0,0
Tombusviridae,0,0,0,0,1,0,0
Tospoviridae,0,0,0,0,1,0,0
Totiviridae,1,0,0,0,0,1,0
Tymoviridae,0,0,0,0,1,0,0
Uncertain.family,0,0,0,0,0,0,0
Unclassified.viruses,0,0,0,0,0,0,0
Vilmaviridae,0,1,0,0,0,0,0
Vilyaviridae,1,0,0,0,0,0,0
Virgaviridae,0,0,0,0,1,0,0
Winoviridae,0,1,0,0,0,0,0
Xinmoviridae,0,0,1,0,0,0,0
Yueviridae,1,0,0,0,0,0,0
Zierdtviridae,0,1,0,0,0,0,0
Zobellviridae,0,1,0,0,0,0,0
